session_id,player_id,activity_date,game_type,session_minutes,stake_amount,win_amount
219,100016,2026-01-20,Slots,37,273.17,263.05
220,100016,2026-01-22,Slots,18,283.45,157.56
221,100016,2026-01-24,Live Casino,58,265.79,158.05
222,100016,2026-01-25,Sportsbook,36,347.75,369.46
223,100016,2026-01-25,Table Games,10,185.67,168.01
224,100016,2026-01-28,Sportsbook,85,656.57,741.62
225,100016,2026-01-29,Slots,46,277.64,255.83
226,100016,2026-01-29,Sportsbook,54,259.56,188.05
227,100016,2026-02-04,Sportsbook,20,340.2,368.84
228,100016,2026-02-05,Slots,72,244.34,179.88
229,100016,2026-02-06,Slots,41,232.68,215.04
230,100016,2026-02-07,Sportsbook,23,191.45,206.48
231,100016,2026-02-07,Sportsbook,26,199.61,233.95
232,100016,2026-02-11,Sportsbook,36,583.23,551.74
233,100016,2026-02-11,Slots,142,176.17,156.44
234,100016,2026-02-11,Slots,18,255.06,172.94
235,100016,2026-02-16,Live Casino,18,1012.27,991.08
236,100016,2026-02-18,Table Games,29,66.56,54.83
237,100016,2026-02-19,Sportsbook,54,216.6,135.43
238,100016,2026-02-22,Sportsbook,34,538.93,575.67
239,100016,2026-02-22,Sportsbook,14,445.69,278.28
240,100016,2026-02-22,Slots,68,150.77,107.9
241,100016,2026-02-22,Sportsbook,30,497.57,291.04
242,100016,2026-02-23,Sportsbook,122,164.7,160.54
243,100016,2026-02-24,Slots,29,148.08,98.14
244,100016,2026-02-25,Sportsbook,59,349.5,246.89
245,100016,2026-02-26,Slots,38,46.39,45.19
246,100016,2026-02-27,Slots,11,61.29,45.71
247,100016,2026-02-27,Table Games,47,212.24,215.63
248,100016,2026-02-27,Slots,16,56.91,57.56
249,100016,2026-02-28,Slots,7,118.81,91.27
250,100016,2026-02-28,Slots,13,145.1,139.89
251,100016,2026-03-01,Slots,32,137.14,80.6
252,100016,2026-03-04,Sportsbook,49,482.77,537.91
253,100016,2026-03-04,Sportsbook,34,212.15,201.85
254,100016,2026-03-04,Slots,23,342.96,251.65
255,100016,2026-03-04,Sportsbook,20,292.71,221.16
256,100016,2026-03-05,Live Casino,98,118.76,73.47
257,100016,2026-03-06,Slots,23,136.33,113.8
258,100016,2026-03-07,Slots,35,167.78,156.05
259,100016,2026-03-09,Live Casino,49,199.93,147.6
260,100016,2026-03-10,Poker,57,150.17,106.23
261,100016,2026-03-10,Poker,52,153.6,164.83
262,100016,2026-03-10,Live Casino,6,376.51,360.0
263,100016,2026-03-10,Sportsbook,14,118.56,70.02
264,100016,2026-03-13,Table Games,84,90.1,103.04
265,100016,2026-03-13,Sportsbook,16,101.7,80.45
266,100016,2026-03-13,Slots,28,95.65,79.48
267,100016,2026-03-14,Sportsbook,20,450.67,383.87
268,100016,2026-03-16,Slots,16,274.82,323.26
269,100016,2026-03-18,Live Casino,125,622.57,477.35
270,100016,2026-03-21,Sportsbook,36,271.61,154.4
271,100016,2026-03-22,Slots,28,218.64,200.69
272,100016,2026-03-23,Table Games,40,199.81,202.68
273,100016,2026-03-24,Sportsbook,22,539.22,581.66
274,100016,2026-03-24,Table Games,72,423.47,419.03
275,100016,2026-03-24,Slots,70,233.3,211.08
276,100016,2026-03-27,Slots,44,134.74,81.77
277,100016,2026-03-29,Slots,27,139.9,140.14
278,100016,2026-03-30,Poker,9,200.09,225.68
279,100017,2026-01-13,Sportsbook,10,38.94,24.76
280,100017,2026-02-13,Sportsbook,72,20.73,15.55
281,100017,2026-02-13,Sportsbook,32,36.06,33.78
282,100017,2026-02-13,Table Games,34,26.93,21.23
283,100017,2026-02-13,Sportsbook,24,48.14,26.53
284,100017,2026-02-17,Live Casino,63,32.75,29.72
285,100017,2026-02-20,Slots,99,51.78,49.35
286,100017,2026-03-17,Live Casino,74,56.22,43.2
287,100017,2026-03-26,Sportsbook,16,24.6,23.91
288,100018,2026-01-01,Slots,56,19.72,16.29
289,100018,2026-01-09,Slots,23,25.26,22.58
290,100018,2026-01-09,Slots,26,82.19,78.91
291,100018,2026-01-09,Slots,81,27.46,29.73
292,100018,2026-01-14,Sportsbook,38,46.0,30.23
293,100018,2026-02-02,Table Games,17,87.88,67.04
294,100018,2026-02-02,Poker,41,43.49,35.74
295,100018,2026-02-14,Slots,14,27.67,20.99
296,100018,2026-03-30,Live Casino,40,6.75,4.84
297,100018,2026-03-30,Slots,28,82.25,74.87
298,100018,2026-03-30,Live Casino,59,32.06,26.27
299,100018,2026-03-30,Live Casino,36,19.67,13.29
300,100019,2026-01-08,Live Casino,77,10.33,6.27
301,100019,2026-01-08,Slots,37,23.17,18.14
302,100019,2026-01-08,Sportsbook,5,12.26,8.49
303,100019,2026-01-20,Table Games,6,35.81,21.63
304,100019,2026-01-26,Live Casino,62,82.54,74.18
305,100019,2026-01-31,Poker,35,115.29,126.37
306,100019,2026-02-01,Slots,55,59.05,66.06
307,100020,2026-01-16,Slots,49,6.13,7.13
308,100020,2026-01-16,Live Casino,47,107.63,126.21
309,100020,2026-01-19,Slots,14,34.02,24.24
310,100020,2026-01-23,Slots,14,57.78,46.24
311,100020,2026-02-27,Sportsbook,43,37.97,35.79
312,100020,2026-02-27,Table Games,75,37.08,23.86
313,100020,2026-02-27,Poker,63,91.78,103.96
314,100020,2026-02-27,Poker,61,23.06,20.46
315,100020,2026-03-21,Live Casino,31,6.98,6.52
316,100020,2026-03-28,Sportsbook,48,28.3,27.93
317,100021,2026-01-03,Sportsbook,10,20.53,17.65
318,100021,2026-02-04,Slots,38,43.87,51.05
319,100021,2026-02-08,Table Games,19,35.82,34.27
320,100021,2026-02-09,Slots,26,61.1,62.84
321,100021,2026-02-13,Slots,125,27.96,20.86
322,100021,2026-02-17,Live Casino,61,16.97,11.19
323,100021,2026-02-17,Slots,6,26.49,15.12
324,100021,2026-03-02,Sportsbook,49,19.08,16.07
325,100022,2026-01-23,Sportsbook,11,95.5,87.83
326,100022,2026-01-23,Poker,27,53.3,54.46
327,100022,2026-01-23,Slots,59,2.26,1.47
328,100022,2026-02-27,Slots,23,8.78,8.58
329,100022,2026-03-04,Slots,19,69.43,71.76
330,100022,2026-03-18,Table Games,24,60.67,33.69
331,100023,2026-02-02,Table Games,117,74.38,55.07
332,100023,2026-02-05,Live Casino,26,45.93,54.18
333,100023,2026-02-14,Table Games,30,72.12,52.51
334,100023,2026-02-18,Slots,22,2.75,2.08
335,100023,2026-02-24,Slots,83,37.59,25.14
336,100023,2026-02-28,Poker,104,11.9,9.57
337,100023,2026-02-28,Poker,59,81.75,70.58
338,100023,2026-02-28,Table Games,6,71.22,72.23
339,100023,2026-02-28,Table Games,30,49.77,38.13
340,100023,2026-03-24,Poker,4,66.78,76.3
341,100024,2026-01-12,Poker,65,58.84,64.67
342,100024,2026-01-13,Sportsbook,14,24.6,20.72
343,100024,2026-01-17,Slots,10,71.47,67.25
344,100024,2026-01-24,Slots,25,47.57,42.04
345,100024,2026-01-29,Sportsbook,17,28.48,23.01
346,100024,2026-01-29,Live Casino,29,25.24,18.91
347,100024,2026-01-29,Sportsbook,53,55.38,52.48
348,100024,2026-02-03,Poker,27,30.03,30.92
349,100024,2026-02-07,Table Games,10,14.26,8.63
350,100024,2026-02-12,Sportsbook,17,41.79,23.11
351,100024,2026-02-12,Live Casino,63,39.19,43.58
352,100024,2026-02-12,Sportsbook,28,9.23,5.1
353,100024,2026-02-15,Live Casino,91,17.93,11.02
354,100024,2026-03-02,Poker,46,38.62,44.32
355,100024,2026-03-13,Table Games,46,17.63,17.32
356,100024,2026-03-25,Slots,8,51.93,33.96
357,100024,2026-03-29,Slots,7,74.38,87.06
358,100025,2026-02-11,Slots,30,25.21,19.82
359,100025,2026-02-15,Sportsbook,29,82.35,47.78
360,100026,2026-01-01,Live Casino,94,269.21,302.47
361,100026,2026-01-04,Sportsbook,40,35.43,21.95
362,100026,2026-01-07,Table Games,54,21.04,21.17
363,100026,2026-01-08,Slots,23,44.68,27.38
364,100026,2026-01-08,Sportsbook,14,27.29,20.39
365,100026,2026-01-08,Sportsbook,30,155.19,168.65
366,100026,2026-01-09,Live Casino,50,58.65,64.72
367,100026,2026-01-10,Sportsbook,10,137.7,99.31
368,100026,2026-01-12,Slots,113,81.02,50.33
369,100026,2026-01-14,Table Games,21,82.2,75.8
370,100026,2026-01-16,Slots,26,52.15,29.63
371,100026,2026-01-17,Live Casino,15,78.87,48.99
372,100026,2026-01-18,Slots,31,69.73,68.13
373,100026,2026-01-20,Slots,95,104.63,91.77
374,100026,2026-01-20,Slots,13,82.57,70.48
375,100026,2026-01-20,Slots,70,78.6,87.4
376,100026,2026-01-20,Slots,37,73.31,61.99
377,100026,2026-01-24,Slots,8,138.61,100.52
378,100026,2026-01-25,Slots,5,21.73,18.03
379,100026,2026-01-26,Sportsbook,36,116.2,118.46
380,100026,2026-01-27,Slots,6,125.82,131.97
381,100026,2026-01-29,Slots,33,38.57,32.3
382,100026,2026-01-30,Sportsbook,33,259.86,244.38
383,100026,2026-01-30,Sportsbook,9,87.93,90.42
384,100026,2026-01-30,Sportsbook,107,195.19,143.26
385,100026,2026-01-31,Sportsbook,19,65.71,65.81
386,100026,2026-02-02,Live Casino,32,49.05,39.12
387,100026,2026-02-03,Slots,69,82.45,93.48
388,100026,2026-02-04,Slots,44,55.45,63.9
389,100026,2026-02-05,Slots,32,105.35,113.61
390,100026,2026-02-07,Live Casino,10,73.95,74.7
391,100026,2026-02-08,Slots,52,87.06,70.85
392,100026,2026-02-08,Sportsbook,42,26.99,20.67
393,100026,2026-02-08,Live Casino,22,55.98,62.06
394,100026,2026-02-08,Slots,39,42.81,43.41
395,100026,2026-02-09,Slots,43,132.52,149.79
396,100026,2026-02-10,Live Casino,49,27.86,26.5
397,100026,2026-02-12,Live Casino,41,259.35,258.67
398,100026,2026-02-13,Live Casino,74,35.29,31.03
399,100026,2026-02-13,Sportsbook,25,60.84,62.21
400,100026,2026-02-13,Slots,15,90.61,89.26
401,100026,2026-02-14,Live Casino,61,202.78,222.42
402,100026,2026-02-15,Poker,63,133.85,139.75
403,100026,2026-02-17,Slots,4,139.07,145.54
404,100026,2026-02-17,Slots,112,69.34,47.01
405,100026,2026-02-17,Live Casino,81,187.07,177.58
406,100026,2026-02-19,Live Casino,35,32.39,32.61
407,100027,2026-01-03,Table Games,34,27.93,20.01
408,100027,2026-01-08,Poker,116,23.66,26.99
409,100027,2026-01-12,Poker,24,54.34,51.3
410,100027,2026-01-25,Table Games,44,54.71,32.6
411,100027,2026-01-28,Sportsbook,34,9.27,9.69
412,100027,2026-02-02,Live Casino,46,44.31,49.03
413,100027,2026-02-17,Table Games,100,63.89,56.49
414,100027,2026-02-17,Sportsbook,52,72.32,40.18
415,100027,2026-02-17,Slots,43,70.97,66.47
416,100027,2026-02-17,Sportsbook,40,41.29,31.06
417,100028,2026-01-01,Slots,79,311.62,250.79
418,100028,2026-01-02,Slots,36,498.83,288.66
419,100028,2026-01-03,Sportsbook,111,166.24,154.96
420,100028,2026-01-04,Slots,31,225.43,155.21
421,100028,2026-01-05,Poker,57,131.13,96.74
422,100028,2026-01-06,Live Casino,109,457.72,254.96
423,100028,2026-01-09,Slots,95,96.97,58.54
424,100028,2026-01-10,Sportsbook,28,801.91,534.01
425,100028,2026-01-10,Sportsbook,67,306.94,179.33
426,100028,2026-01-10,Table Games,30,122.45,72.99
427,100028,2026-01-10,Table Games,14,209.24,240.51
428,100028,2026-01-11,Table Games,23,125.92,107.8
429,100028,2026-01-12,Poker,33,437.57,504.93
430,100028,2026-01-13,Table Games,2,229.0,177.81
431,100028,2026-01-14,Table Games,10,169.35,145.1
432,100028,2026-01-15,Sportsbook,2,286.04,317.04
433,100028,2026-01-15,Slots,8,417.92,385.2
434,100028,2026-01-17,Slots,34,526.49,338.87
435,100028,2026-01-17,Sportsbook,20,156.34,99.17
436,100028,2026-01-17,Slots,23,381.63,445.96
437,100028,2026-01-22,Live Casino,70,324.08,293.77
438,100028,2026-01-25,Live Casino,23,463.18,322.38
439,100028,2026-01-27,Table Games,34,415.99,469.35
440,100028,2026-01-28,Sportsbook,13,95.75,97.42
441,100028,2026-01-30,Live Casino,35,165.53,184.72
442,100028,2026-02-05,Live Casino,23,127.55,97.87
443,100028,2026-02-06,Slots,4,91.06,79.6
444,100028,2026-02-07,Slots,31,305.9,231.89
445,100028,2026-02-11,Slots,81,112.01,78.8
446,100028,2026-02-13,Slots,50,50.26,56.85
447,100028,2026-02-15,Slots,78,44.5,44.88
448,100028,2026-02-17,Slots,36,635.55,542.41
449,100028,2026-02-19,Slots,20,357.25,234.24
450,100028,2026-02-20,Sportsbook,32,495.64,313.89
451,100028,2026-02-23,Slots,36,362.84,240.12
452,100028,2026-02-24,Slots,35,264.89,161.24
453,100028,2026-02-25,Slots,27,418.8,409.37
454,100028,2026-02-27,Slots,6,242.25,276.45
455,100028,2026-03-04,Sportsbook,8,596.21,642.37
456,100028,2026-03-05,Sportsbook,56,84.08,50.68
457,100028,2026-03-07,Sportsbook,51,901.4,499.81
458,100028,2026-03-08,Table Games,77,451.29,364.45
459,100028,2026-03-10,Table Games,11,636.36,595.31
460,100028,2026-03-11,Slots,52,563.53,373.39
461,100028,2026-03-15,Poker,17,578.26,463.09
462,100028,2026-03-16,Slots,16,316.89,254.25
463,100028,2026-03-16,Live Casino,79,158.46,183.44
464,100028,2026-03-23,Table Games,25,260.57,156.45
465,100028,2026-03-26,Slots,8,907.41,840.64
466,100028,2026-03-27,Live Casino,34,204.47,197.08
467,100028,2026-03-28,Sportsbook,34,226.26,148.6
468,100028,2026-03-30,Live Casino,19,111.76,89.29
469,100028,2026-03-31,Slots,32,36.09,26.32
470,100029,2026-01-25,Live Casino,18,22.97,12.7
471,100029,2026-01-25,Slots,92,28.65,24.84
472,100029,2026-01-25,Slots,3,38.13,27.16
473,100029,2026-01-25,Slots,22,64.08,53.12
474,100029,2026-01-29,Live Casino,78,115.68,120.15
475,100029,2026-02-05,Table Games,34,48.78,34.75
476,100029,2026-02-28,Slots,106,38.74,40.84
477,100029,2026-03-19,Sportsbook,64,10.86,7.77
478,100030,2026-01-01,Slots,12,47.29,52.74
479,100030,2026-01-06,Table Games,37,63.43,64.86
480,100030,2026-01-06,Sportsbook,55,57.43,32.77
481,100030,2026-01-06,Table Games,84,91.34,57.17
482,100030,2026-01-11,Sportsbook,23,36.13,22.16
483,100030,2026-01-14,Table Games,65,63.06,72.77
484,100030,2026-01-16,Slots,6,81.69,63.72
485,100030,2026-01-20,Poker,78,97.65,59.85
486,100030,2026-01-20,Slots,25,78.13,50.15
487,100030,2026-01-20,Slots,26,33.15,28.66
488,100030,2026-01-20,Sportsbook,10,130.07,135.9
489,100030,2026-01-21,Slots,36,27.36,16.08
490,100030,2026-01-23,Slots,68,107.19,83.33
491,100030,2026-01-24,Slots,54,31.2,34.21
492,100030,2026-01-25,Live Casino,13,53.17,55.38
493,100030,2026-01-26,Table Games,33,62.27,49.2
494,100030,2026-01-27,Slots,62,70.83,54.01
495,100030,2026-01-28,Slots,16,19.35,13.42
496,100030,2026-01-30,Sportsbook,67,58.77,48.8
497,100030,2026-01-31,Slots,39,178.93,194.71
498,100030,2026-01-31,Sportsbook,15,41.25,42.17
499,100030,2026-01-31,Slots,28,159.47,135.24
500,100030,2026-02-01,Live Casino,18,51.3,33.23
501,100030,2026-02-01,Sportsbook,30,31.38,22.88
502,100030,2026-02-03,Slots,27,198.75,217.04
503,100030,2026-02-04,Sportsbook,80,50.33,41.79
504,100030,2026-02-09,Sportsbook,46,175.79,167.1
505,100030,2026-02-10,Sportsbook,10,166.15,147.87
506,100030,2026-02-15,Poker,28,69.04,37.98
507,100030,2026-02-24,Table Games,75,100.14,113.25
508,100030,2026-03-02,Slots,60,95.79,66.64
509,100030,2026-03-05,Slots,8,179.21,117.0
510,100030,2026-03-12,Table Games,87,97.73,68.5
511,100030,2026-03-15,Sportsbook,25,75.79,77.16
